Hduj_gnl_WGS_MTYJ_mrna.BV898_00284.1	Hduj_1_283
Hduj_gnl_WGS_MTYJ_mrna.BV898_00285.1	Hduj_1_284
Hduj_gnl_WGS_MTYJ_mrna.BV898_00286.1	Hduj_1_285
Hduj_gnl_WGS_MTYJ_mrna.BV898_00287.1	Hduj_1_286
Hduj_gnl_WGS_MTYJ_mrna.BV898_00288.2	Hduj_1_287
Hduj_gnl_WGS_MTYJ_mrna.BV898_00289.1	Hduj_1_288
Hduj_gnl_WGS_MTYJ_mrna.BV898_00290.1	Hduj_1_289
Hduj_gnl_WGS_MTYJ_mrna.BV898_00291.1	Hduj_1_290
Hduj_gnl_WGS_MTYJ_mrna.BV898_00292.1	Hduj_1_291
Hduj_gnl_WGS_MTYJ_mrna.BV898_00293.1	Hduj_1_292
Hduj_gnl_WGS_MTYJ_mrna.BV898_00294.1	Hduj_1_293
Hduj_gnl_WGS_MTYJ_mrna.BV898_00295.1	Hduj_1_294
Hduj_gnl_WGS_MTYJ_mrna.BV898_00296.1	Hduj_1_295
Hduj_gnl_WGS_MTYJ_mrna.BV898_00297.1	Hduj_1_296
Hduj_gnl_WGS_MTYJ_mrna.BV898_00298.1	Hduj_1_297
Hduj_gnl_WGS_MTYJ_mrna.BV898_00299.1	Hduj_1_298
Hduj_gnl_WGS_MTYJ_mrna.BV898_00300.1	Hduj_1_299
Hduj_gnl_WGS_MTYJ_mrna.BV898_00301.1	Hduj_1_300
Hduj_gnl_WGS_MTYJ_mrna.BV898_00302.1	Hduj_1_301
Hduj_gnl_WGS_MTYJ_mrna.BV898_00303.1	Hduj_1_302
Hduj_gnl_WGS_MTYJ_mrna.BV898_00304.1	Hduj_1_303
Hduj_gnl_WGS_MTYJ_mrna.BV898_00305.1	Hduj_1_304
Hduj_gnl_WGS_MTYJ_mrna.BV898_00306.1	Hduj_1_305
Hduj_gnl_WGS_MTYJ_mrna.BV898_00307.1	Hduj_1_306
Hduj_gnl_WGS_MTYJ_mrna.BV898_00308.1	Hduj_1_307
Hduj_gnl_WGS_MTYJ_mrna.BV898_00309.1	Hduj_1_308
Hduj_gnl_WGS_MTYJ_mrna.BV898_00310.1	Hduj_1_309
Hduj_gnl_WGS_MTYJ_mrna.BV898_00311.1	Hduj_1_310
Hduj_gnl_WGS_MTYJ_mrna.BV898_00312.1	Hduj_1_311
Hduj_gnl_WGS_MTYJ_mrna.BV898_00313.1	Hduj_1_312
Hduj_gnl_WGS_MTYJ_mrna.BV898_00314.1	Hduj_1_313
Hduj_gnl_WGS_MTYJ_mrna.BV898_00315.2	Hduj_1_314
Hduj_gnl_WGS_MTYJ_mrna.BV898_00316.1	Hduj_1_315
Hduj_gnl_WGS_MTYJ_mrna.BV898_00317.1	Hduj_1_316
Hduj_gnl_WGS_MTYJ_mrna.BV898_00318.1	Hduj_1_317
Hduj_gnl_WGS_MTYJ_mrna.BV898_00319.1	Hduj_1_318
Hduj_gnl_WGS_MTYJ_mrna.BV898_00320.1	Hduj_1_319
Hduj_gnl_WGS_MTYJ_mrna.BV898_00321.1	Hduj_1_320
Hduj_gnl_WGS_MTYJ_mrna.BV898_00322.1	Hduj_1_321
Hduj_gnl_WGS_MTYJ_mrna.BV898_00323.1	Hduj_1_322
Hduj_gnl_WGS_MTYJ_mrna.BV898_00324.1	Hduj_1_323
Hduj_gnl_WGS_MTYJ_mrna.BV898_00325.1	Hduj_1_324
Hduj_gnl_WGS_MTYJ_mrna.BV898_00326.1	Hduj_1_325
Hduj_gnl_WGS_MTYJ_mrna.BV898_00327.1	Hduj_1_326
Hduj_gnl_WGS_MTYJ_mrna.BV898_00328.1	Hduj_1_327
Hduj_gnl_WGS_MTYJ_mrna.BV898_00329.1	Hduj_1_328
Hduj_gnl_WGS_MTYJ_mrna.BV898_00330.1	Hduj_1_329
Hduj_gnl_WGS_MTYJ_mrna.BV898_00331.1	Hduj_1_330
Hduj_gnl_WGS_MTYJ_mrna.BV898_00332.1	Hduj_1_331
Hduj_gnl_WGS_MTYJ_mrna.BV898_00333.1	Hduj_1_332
Hduj_gnl_WGS_MTYJ_mrna.BV898_00334.1	Hduj_1_333
Hduj_gnl_WGS_MTYJ_mrna.BV898_00335.1	Hduj_1_334
Hduj_gnl_WGS_MTYJ_mrna.BV898_00336.1	Hduj_1_335
Hduj_gnl_WGS_MTYJ_mrna.BV898_00337.1	Hduj_1_336
Hduj_gnl_WGS_MTYJ_mrna.BV898_00338.1	Hduj_1_337
Hduj_gnl_WGS_MTYJ_mrna.BV898_00339.1	Hduj_1_338
Hduj_gnl_WGS_MTYJ_mrna.BV898_00340.1	Hduj_1_339
Hduj_gnl_WGS_MTYJ_mrna.BV898_00341.1	Hduj_1_340
Hduj_gnl_WGS_MTYJ_mrna.BV898_00342.1	Hduj_1_341
